PC_Timestamp,NMEA_Sentence
2025-11-12 08:43:38.728,"$GAGSV,1,1,00,7*73"
2025-11-12 08:43:38.728,"$GAGSV,1,1,00,1*75"
2025-11-12 08:43:38.796,"$GQGSV,1,1,00,1*65"
2025-11-12 08:43:38.796,"$GQGSV,1,1,00,8*6C"
2025-11-12 08:43:38.796,"$GNTXT,01,01,01,0,000002,0000,0000,0000,190.979,0,0001F7FF01BA0200*2F"
2025-11-12 08:43:39.706,"$GNRMC,,V,,,,,,,,,,N,V*37"
2025-11-12 08:43:39.706,"$GNGGA,,,,,,0,00,99.99,,,,,,*56"
2025-11-12 08:43:39.706,"$GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99,1*33"
2025-11-12 08:43:39.706,"$GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99,2*30"
2025-11-12 08:43:39.717,"$GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99,4*36"
2025-11-12 08:43:39.717,"$GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99,3*31"
2025-11-12 08:43:39.717,"$GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99,5*37"
2025-11-12 08:43:39.720,"$GPGSV,1,1,00,1*64"
2025-11-12 08:43:39.726,"$GPGSV,1,1,00,8*6D"
2025-11-12 08:43:39.726,"$GLGSV,1,1,00,1*78"
2025-11-12 08:43:39.726,"$GBGSV,1,1,00,1*76"
2025-11-12 08:43:39.726,"$GBGSV,1,1,00,5*72"
2025-11-12 08:43:39.726,"$GAGSV,1,1,00,7*73"
2025-11-12 08:43:39.726,"$GAGSV,1,1,00,1*75"
2025-11-12 08:43:39.788,"$GQGSV,1,1,00,1*65"
2025-11-12 08:43:39.789,"$GQGSV,1,1,00,8*6C"
2025-11-12 08:43:39.789,"$GNTXT,01,01,01,0,000002,0000,0000,0000,190.979,0,0001F7FF01BA0200*2F"
2025-11-12 08:43:40.706,"$GNRMC,,V,,,,,,,,,,N,V*37"
2025-11-12 08:43:40.706,"$GNGGA,,,,,,0,00,99.99,,,,,,*56"
2025-11-12 08:43:40.707,"$GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99,1*33"
2025-11-12 08:43:40.707,"$GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99,2*30"
